    , K        , DE    , P             , K         , DE    , P     , K             , DE             , P     , K         , DE    , P     ,,K – melhor,0.34
 P1 ,0.05,18.44,0.37,0.21,18.22,-0.07,0.34,12,-0.02,0.08,18.49,0.01,,K – pior,-0.03
 P2 ,0.12,14.39,0.49,0.12,14.35,-0.09,0.248,11.27,0.02,-0.03,13.86,-0.19,,DE – melhor,10.86
 T  ,0,18.79,0.22,0.17,22.05,-0.1,0.08,10.86,0.07,0.05,21.38,-0.08,,DE – pior,22.05
,,,,,,,,,,,,,,P – melhor,0.49
,,,,,,,,,,,,,,P – pior,-0.19
