    , K        , DE    , P             , K         , DE    , P    , K             , DE             , P     , K         , DE    , P     ,,K – melhor,0.32
 P1 ,0.09,18.44,0.19,0.27,18.22,0.1,0.15,12,-0.07,0.05,18.49,-0.15,,K – pior,-0.09
 P2 ,0.09,14.39,0.17,0.08,14.35,0.09,0.32,11.27,-0.09,-0.09,13.86,-0.05,,DE – melhor,10.86
 T  ,0.05,18.79,0.06,0.27,22.05,0.04,-0.04,10.86,-0.04,-0.02,21.38,-0.2,,DE – pior,22.05
,,,,,,,,,,,,,,P – melhor,0.19
,,,,,,,,,,,,,,P – pior,-0.2
